prompt,completion
" Sandy: You're the girl who did the report on the carriage driver and slipped and fell in horse poop...
"," Robin: We did have s*x.
"
" Sandy: Oh, I... I remember now. Gregory, do me a favor.
"," Robin: But this reporter takes pride in...
"
" [END OF FLASHBACK]
"," Robin: And now everyone calls me Scherpoopie. It's not funny.
"
" Ted: He has to do that?
"," Robin: But I thought you talk to your dad about everything.
"
" [FLASHBACK]
"," Robin: And the fertilizer is seeping into the ground water, causing...
"
" Sandy: Is Scherpoopie pitching a story about manure? Genius.
"," Robin: Okay, yes, I, uh, I fell into some manure. It's hilarious, fine. In a five-year career of on-air reports, there are bound to be a few embarrassing moments.
"
" Sandy: A few?
"," Robin: Uh, but in my case, it was just the one, and you found it, so, uh... Just the one.
"
" Ted: Oh, God. What did they find?
"," Robin: Everything.
"
" [FLASHBACK]
"," Robin: *Everybody, come and play*... I'm a dirty, dirty girl... *Throw every last care away; Let's go to the mall today; Today, today*... The Federal Reserve Board voted to leave interest... * Let's go to the mall; Today; Let's go to the ma-a-all; Let's got to the mall today; Let's go to the ma-a-all; Today; Let's go to the mall; Today; Let's go to the ma-a-all; Today... ; Let's go to the mall... *
"
" [END OF FLASHBACK]
"," Robin: They even found the video of me getting attacked by an owl.
"
" Ted: You got attacked by an owl?
"," Robin: I did not get attacked by an owl.
"
" Ted: Robin, listen, here's what you need to do...
"," Robin: Okay, don't you dare tell me to steer into the skid, okay? It's too late. I'm already wrapped around a hydro pole. It's a Canadian telephone pole. I never should have taken this job.
"
" Ted: Uh... Okay, I did a bad thing last night. I looked up his address.
"," Robin: Who?
"
" Ted: Sorry. You said ""who"". It reminded me of the owl footage. Genius. No. Sandy. How dare he laugh at you. Who does he think... Sorry. ""Who"". Anyway. I looked up his address in your contact list.
"," Robin: Oh, God. Tell me you didn't go over there.
"
" Ted: I just thought he needed to listen to common sense and reasonable discourse.
"," Robin: Oh, God. Tell me those aren't the names of your fists.
"
" [END OF FLASHBACK]
"," Robin: Oh, my God. This is...
"
" Ted: This is how you make sure Sandy never makes fun of you again. I told you to steer into the skid. That was bad advice. So new advice. Steer into Sandy, and run him down.
"," Robin: If people found out Sandy wears a toupee...
"
" Ted: Really? That's your take-away? Nothing on the bear in the bra?
"," Robin: Oh, no. He's very open about that. That's Gregory. Nice guy.
"
" Ted: So? Possibly last day of work?
"," Robin: Actually, it was a good day.
"
" Sandy: And I need more numbers on how the holiday season impacted the economy. Sparkles, got anything on malls?
"," Robin: Actually, Sandy, I have something I think you're all gonna want to see.
"
" Ted: Yes! Put him in a body bag!
"," Robin: Okay, I didn't do it.
"
" Ted: What?
"," Robin: I didn't want to just viciously attack someone out of the blue like some kind of...
"
" Ted: Owl?
"," Robin: Exactly. So, instead of taking your advice, I took your advice.
"
" Lily and Robin are in McClaren's.
"," Robin: So, it seems that Marshall has to work late on Friday.You know what that means, party girls.
"
" Lily: Well, a teacher at my school, Jillian, a birthday. What?
"," Robin: It's just that... I have never heard of this before Jillian, and suddenly, it's your best friend. You do not stop talking about her.
"
" Lily: Do not be jealous. We hang out together all the time.
"," Robin: Yeah, but Marshall is still there. There was not much time to talk, just us two.
"
" At the apartment Marshall and Lily, Lily and Robin are sitting on the couch.
"," Robin: This is where the story gets really good. So it goes...
"
" Marshall: Hi.
"," Robin:... place. And then this... guy talking about this thing with the stuff of which I spoke the other day about this place.Well, anyway... it happened.
"
" End flashback
"," Robin: I wish we had time for girls. I love Marshall, but I am not free to express myself.
"
" Lily: Come with me and Jillian, then.
"," Robin: OK, but I want to stay too late because... (Marshall and Ted joined them at the table) Do you remember... this thing last month after going there? You know who said it was going, but she gave me tips.
"
" Ted: Well, you renovate the library Nouillorc.
"," Robin: That's great!
"
" Ted: I hate them. Swedish architecture collective.
"," Robin: No one.
"
" Robin and Lily walk into a bar.
"," Robin: Your friend has a birthday here? She has what, 19?
"
" Lily: I swear, at school, Jillian is not so Woo.
"," Robin: It was not like a Woo. Perhaps it is that holidays like Mardi Gras and the day of the year. Maybe this is a cyclical Woo.
"
" All: Wooo!
"," Robin: So, Jillian, it seems that when you not flash the bartenders, you are mistress of CE1. How is it?
"
" They leave when Robin arrives.
"," Robin: It's been what?
"
" Lily: Ted did not get the job. But this is not the biggest disappointment of the day.
"," Robin: What?
"
" Lily: You were seen to Woo.
"," Robin: Given that, do Woo?
"
" Lily: You who did Woo?
"," Robin: I have not done Woo.
"
" Lily: Oh, yes.
"," Robin: That's not true.
"
" Lily: Your nose is growing. You've become best friends with Jillian now?
"," Robin: It's just... You're married, I'm still single. Whenever I'm with you, I'm usually the 3rd wheel. Sometimes it's nice to go out with other singles and doing stuff you do not.
"
" Lily: Like what?
"," Robin: As to Woo, Lily. As to Woo.
"
" Lily: I can Woo.
"," Robin: That's not true.
"
" Lily: But if.
"," Robin: It's not you, that.
"
" Jillian: My God, girls. Yesterday, we collected $ 10 000 for my charity that fights illiteracy children. It's a real problem.
"," Robin: Someone won a trip buttocks until the first dance floor of the canyon of spanking!
"
" Lily: Wooo!
"," Robin: What are you doing here?
"
" Lily: The same things are funny as singles.
"," Robin: That's what the fireman's helmet?
"
" Lily: I had no cowboy hat, and it was the day of fire safety at school... My God, ***** s. This is our theme.
"," Robin: Really? Who sings that?
"
" Jillian: Come and dance.
"," Robin: Lily, it does not work. You should not be there.
"
" Lily: I get it. Because I am happily married, I'm a schmuck?
"," Robin: On the contrary. Why do you think the Woo Woos have to when they win a drinking game? Or when a guy takes off his gun t-shirt? Because that's all that life brings. These are...People really sad. And when she go out with someone who has it all, someone like you, it's disappointing. It takes them Woo.
"
" Lily: You say that to make me feel not like an old married.
"," Robin: Look at those girls. Look at them and listen to what they mean Woo.
"
" Lily: The poor girls... and Ted. I want to give them a hug.
"," Robin: Right now I am like them. I have no job, no boyfriend, I'm confused. So... occasionally, I need to Woo, but when I need to talk about something concrete, it is to you I turn. You're my best friend.
"
" Ted: Hey,is that a toilet in your kitchen?
"," Robin: Or a stove in your bathroom?
"
" Lily: It's kind of a mess. I didn't make my bed this morning, so...
"," Robin: Oh! You know what? I bet sleeping at this angle is good for you. For some reason.
"
" Lily: That was ""something, something, I am going to something you like a something donkey.
"," Robin: Uh. Other cultures!
"
" Ted: Okay, we have to get Lily out of that apartment. Her roommate is a raccoon.
"," Robin: I'd offer her my place, but I've got dogs and she's allergic.
"
" Ted: Dogs? I live with her ex-boyfriend. I think she's a little more allergic to that.
"," Robin: What about your place, Barney? I know it's shrouded in mystery, but it's gotta have a couch.
"
" Barney: The fortress of barnitude? No way.
"," Robin: Come on. She's desperate.
"
" Marshall (arriving): One of you guys is very, very lucky because I have... A boom! An extra ticket to the Alanis Morissette concert. Who's in?
"," Robin: Absolutely not.
"
" [END OF FLASHBACK]
"," Robin: Oh, the Popover Pantry! That place is great. Can we go get brunch tomorrow?
"
" Marshall: No,actually I went with a friend from law school.
"," Robin: Oh,really? Who's this friend?
"
" Ted: Because brunch is kind of...
"," Robin: Girly.
"
" Ted: No, totally. It sounds like a really, really fun, exciting, third date.
"," Robin: Ooh, third date. You know what that means.
"
" Marshall: Café l'amour. (Ted and Robin laugh) Brad says the food is really good there, okay?
"," Robin: Sounds like Brad's got quite the night planned out. You better bring your ""A"" game. That means no granny panties.
"
" Ted: Woah!
"," Robin: Well, it could have been worse. It could have fallen in your lap.
"
" Ted: Okay, that's not too bad. Two single guys on the prowl. It'll be like ""Wedding crashers"".
"," Robin: Just keep Brad away from the bouquet.
"
" Ted: Look,I don't think he's crazy. I just think he's suffering from a severe case of girlfriend withdrawal. And unfortunately, you're his nicotine patch.
"," Robin: And now you have to do what every dysfunctional couple has to do: Break up.
"
" Marshall: Exactly, that's why Lily can know nothing.
"," Robin: Lily can know nothing of what?
"
" Ted: What Marshall is going to buy a horse.
"," Robin: Really?! It's great, I love this stuff. Guys why this kid staring at me? I understand, I think it happens at last. I recognized my show.
"
" Ted: That's so cute. But it's Scotty, one of my students, and he looks at me me. Weird that I'm more famous than you.
"," Robin: No, I go on TV.
"
" Ted: What?
"," Robin: Yes.
"
" Scotty: I did not want to fix, it's just that I watch your show all the time.
"," Robin: Really?
"
" Ted: Uh, this is Professor Mosby.
"," Robin: We're friends.
"
" Marshall: What is this supposed to mean?
"," Robin: That's how it goes boy, every relationship has a low and high.
"
" Marshall: I am not diminished for Lily. Yes, it is a bit small, and my mother says she has no hips to carry a baby Eriksen. My God, you think I'm weak.
"," Robin: That's why Lily is not jealous. The strongest is never jealous because where could go lower? The fort, Lily, is the best thing that low, Marshall may have hoped.
"
" Marshall: No, ok, I'm glad Lily, but Lily is as lucky as me. None of us is low.
"," Robin: Yes, it's definitely, you are going to buy a horse.
"
" Marshall: What?
"," Robin: Try your luck.
"
" Ted: So, to end modern architecture is very short, experimented with the houses in V. (Robin enters the classroom Ted) Excuse me one second. What are you doing here?
"," Robin: I've realized that you forgot something this morning, so I thought I would bring thee: thy pen.
"
" Ted: It's your pen, and you have chewed the end, recently.
"," Robin: Nothing to Ted, your course was on my way to work.
"
" Ted: No, it is not.
"," Robin: Come on, stand New York.
"
" Student: I watch your show all the time.
"," Robin: Really, you watch my show? You flatter me see. Other fans here?
"
" Ted: Thank you for last, Robin.
"," Robin: That night, great show on poisons. (She goes out, then reopens the door) Also, who makes the worst pizza in New York, I will give you information on traffic streets 5 and 9.
"
" Ted and Barney are watching TV while Robin interviews a young boy.
"," Robin: It's good but um, this was not your first spelling bee, does not it?
"
" Boy: No, the third.
"," Robin: Oh that's good. But hmm. But um...
"
" Robin comes as Marshall hand.
"," Robin: Ted, I have a great idea.
"
" Ted: Remove your hair in the bathtub once you're done? Looks like you want to make a bath mat.
"," Robin: If you want to make one of your classes exciting, I could read it from someone a little more fun, your students can pay attention and learn.
"
" Ted: Oh, you're entertaining? Last night there were 3 minutes of silence where you tried to patch up your sweater.
"," Robin: Look, just because your class prefers me to you...
"
" Ted:... You're a drinking game.
"," Robin: What?
"
" Ted: That's why they watch. They did a drinking game on you.Every time you say ""But um"", they take a shot.
"," Robin: But umm?
"
" Ted: Yes.
"," Robin: I'm not But um, I never told But hum.
"
" Robin has another interview.
"," Robin: So, your third book is your new novel, but um...
"
" All, the student bar: But hum!
"," Robin: sh1t! Sorry. But, but just. No hum! Your first book was written more quickly?
"
" Man: Oh, it's true!
"," Robin: But umm...
"
" Ted (2030): And that's when that Robin had an idea that would end the game forever.
"," Robin: I wanted to ask about the novel you're writing right now, but um...
"
" All: But hum!
"," Robin: And tonight, you had to, but um...
"
" All: But hum!
"," Robin: For a long time, but um...
"
" Man: I think I should go, keep your $ 10!
"," Robin: Ok, um... but thank you for coming but um... If there are students who look, but um, but um, but um...
"
" Jenkins is in a bar.
"," Robin: The police officer was unharmed but um...
"
" Suddenly Robin between.
"," Robin: How's you all?
"
" Ted: No, no, no, please. Just goes away!
"," Robin: I just wanted to tell you go... (She takes a megaphone) To all those watching. Go! Standing New York! BUT HUM!
"
" Barney: Seriously. Jesus began this thing for three days. He waited three days to return to life. It was perfect. If he had waited one day we would not have known he was dead! They would have said: ""Jesus, are you? ""And Jesus would probably have said,"" You okay? I died yesterday! ""And they would say:"" You have the air alive, man. "" And they should explain his resurrection. And the miracle. And then the guy would say, ""Okay, whatever you want, dude.""
"," Robin: The dialogues seem pompous old now.
"
" Holly is in her bath with her phone and Robin leaves his room.
"," Robin: What was that?
"
" Ted: What?
"," Robin: You made a noise.
"
" Ted: This is my laptop, a text message.
"," Robin: Not that. You made the sound of the naked girl.
"
" Ted: What?
"," Robin: When you see a naked girl, you make noise.
"
" Ted: That's not true.
"," Robin: Really?
"
" End flashback
"," Robin: This is Holly who writes to you? You're not promised to wait three days?
"
" Ted: To call. Texting, it's different.
"," Robin: Okay, just try to proclaim your sound of the naked girl.
"
" Ted: I make no noise.
"," Robin: Really?
"
" Ted: Holly just told me what she wears. It's pretty exciting.
"," Robin: Whatever it is, I guarantee you she do not wear it. She lies to please you.
"
" Ted: How do you know?
"," Robin: Because no woman in history has never, ""asked to read architectural magazines in my old... uniform cheerleader. ""
"
" Ted: Okay, maybe she's lying on the architectural magazines.No. This is bad.
"," Robin: What?
"
" Ted: She just sent me a message clearly intended for someone else.
"," Robin: ""Baby, I got to eat at Generro. I come home soon. ""Yes, it sounds bad, but thinking a little. It is perhaps for his brother or father who is ill.
"
" Ted: Come down.
"," Robin: ""And then I want to... you to take me on the couch.""Maybe not a sick father. Father or a really sick... Right? Sorry.
"
" Robin joins Marshall and Barney at the bar.
"," Robin: Hi guys! What is it?
"
" Marshall: A meal that I Generro back to Lily.
"," Robin: Bizarre. Holly sent a message to Ted talking about a meal Generro. A second. Band of bastards!
"
" Barney: What?
"," Robin: You are Holly! So Ted did not send messages to Holly? He sent to you?
"
" End flashback
"," Robin: You did this all day? This is wicked.
"
" Ted: I'm in love with you.
"," Robin: What?
"
" End flashback
"," Robin: I was a single case. This is not Holly Robin Scherbatsky. What is wrong with her hair? News Flash: detangling, it exists for not having a helmet. I'm so mean.
"
" Barney: ""My parents divorced two years there. It was really hard. MDR. ""
"," Robin: And he really knows not what means MDR.
"
" End flashback
"," Robin: Super Stan. Who is it?
"
" End flashback
"," Robin: That guy you fell in love. I hope his girlfriend is not jealous. He spoke of a friend or...?
"
" Barney: All was well until he sends a text message for Lily and ruins everything.
"," Robin: It's okay. It's over now. I have to leave, but that's what happens: you call it now, tell him what you did and apologize.Got it?
"
" Ted: Holly explained everything to me, it was just a misunderstanding. All is well now.
"," Robin: Really? How she explained the scope of texting?
"
" Ted: Apparently, his idiot friend of Marsha accidentally used his phone for a message to her husband Billy.
"," Robin: Marsha and Billy. They are not trampled.
"
" Ted: And now I feel better than ever. It sounds crazy, but I think that I am attached to this girl.
"," Robin: You cling to Barney and Marshall.
"
" Ted: What?
"," Robin: They did not believe that you'd wait three days, so Barney has changed his number by that of his work laptop.Holly is Barney and Marshall.
"
" Ted: Wait. It was them all along? So Holly was not in his bath?Or sitting by the window, gazing at the stars thinking of me? Or on his couch cheerleader reading architecture magazines?
"," Robin: I think they have done that. They were just at the bar.
"
" Ted: It's true.
"," Robin: Yes, it was them.
"
" Ted: Incredible!
"," Robin: I know. You should tell them that you are not fooled.
"
" Ted: Or... I send them a text message that will really confuse them.
"," Robin: I see. Why not: ""I have told anyone yet, but I only have three months to live""?
"
" Ted: Not bad. And: ""I killed a man with a shovel, and those feelings resurface""?
"," Robin: I love this thing someone said about three months to live.
"
" Ted: ""I've never told anyone but I slept with the mother of my best friend. ""
"," Robin: It's good, but I think it comes down to trick the three months to live.
"
" Marshall: And by ""me"", he means Marshall Eriksen, star of Ted's gay dreams.
"," Robin: So what? So Ted has gay dreams about one of you. It's not as if he had three months to live. It would... Shocking, no?
"
" Stan: I can not. I have a date. Ready?
"," Robin: Yes.
"
" Robin by the arm of Stan.
"," Robin: You know their names?
"
" Stan: No. The large, this is Ted?
"," Robin: No, it's Marshall. Married to Lily.
"
" Kevin: How's it going, buddy?
"," Robin: Hey, guys.
"
" Barney, Robin and &auml;Ted are at the bar.
"," Robin: Oh, Ted. Oh, Teddy boy.
"
" Barney: Perfectly.
"," Robin: Well, at least you apologized. You apologized, didn't you?
"
" Ted: I should go apologize. It's Christmas Eve.
"," Robin: Yeah. I mean, slamming doors and screaming curses? If I wanted that, I would have gone home for the holidays.
"
" Robin walks Barney home. On the Hallway.
"," Robin: You're sick.
"
" Barney: I'm not sick.
"," Robin: You're sick.
"
" Ted: Ahh... Three flights of stairs, not a drop spilled. Hey, buddy.
"," Robin: You sure this is gonna work?
"
" Ted: Yeah, this is our thing. In college, whenever I wanted to make up with her, I'd buy her a beer. Cute, right?
"," Robin: Totally. Plus free mug.
"
" Ted: All right. I guess I have to call her, right? Lily's cell phone. She'll listen to reason-- right? Oh, hey, Billy. Actually, funny thing--the voice dial got you. I was trying to call... Oh, I'm sorry to hear that. (20 minutes later) Yeah, the holidays are a rough time for everyone, Billy. Okay, yeah, dinner next Wednesday. Okay. Damn voice dial.
"," Robin: Barney! What the hell are you doing? Get in here, it's freezing outside. Are you insane?
"
" Barney: Hey, blame Lily and her oppressive ""no cigars in the apartment rule."" God, it's like Marshall's marrying the Taliban. (he sneezes on his hand). High five.
"," Robin: Eww. No. You have to go home and get to bed.
"
" Ted to Robin: She hung up.
"," Robin: She's just mad. She'll cool down.
"
" Ted: Damn it! I could be in Cleveland right now making peppermint lager with my dad.
"," Robin: Where are you going?
"
" Barney: This is a low moment for the Barnacle. I should be off playing laser tag right now, but instead... Don't look at me. I'm hideous.
"," Robin: You just look like a regular guy.
"
" Barney: Exactly. I'm a Ted. I'm wearing elastic-waist fleece pants.
"," Robin: And isn't it more comfy?
"
" Barney: Yes.
"," Robin: Come on, you need eat something.
"
" Barney: Too weak... to hold... bowl.
"," Robin: Fine, I'll feed you.
"
" Barney: Ouchie in my mouth! I don't want it. I want ice cream.
"," Robin: No, you're not having ice cream for dinner just 'cause you're sick.
"
" Barney: But my throat hurts.
"," Robin: No!
"
" Ted: Uh, they're fine. They're just... they're a little weird. You know they don't believe in gifts or Christmas trees. And they think Santa's how Satan spells his name when he wants to trick us.
"," Robin: Well, do you want me to go with you?
"
" Ted: Was that a sincere offer?
"," Robin: First tell me your answer.
"
" Ted: Stay there. Save yourself. We'll spend all day together tomorrow. Okay. Oh, how's Barney feeling?
"," Robin: You mean the whiney bottomless pit of neediness? He was bugging me, so I spiked his echinacea tea with codeine.
"
" Ted: I'm gonna help marshall pay.
"," Robin: I'm gonna help lily pee.
"
" Ted: yeah, this is going to be great. Just the five of us, right?
"," Robin: Oh, uh, that reminds me, I invited Bob.
"
" Lily: Bob? You've been on, like, three dates with that guy. We haven't even met him.
"," Robin: Well, he didn't have anywhere else to go, and I didn't know what to say. Is it really that big a deal?
"
" Lily: Yes. This is our first Thanksgiving. 30 years from now, we're going to look at the photos and say, ""Oh, there's the four people I love most in the world... and Bob.""
"," Robin: I'm sorry,sometimes I forget how seriously you guys take American Thanksgiving. Real thanksgiving happened over a month ago.
"
" Barney: I'm sorry. Did you just say Canadian Thanksgiving was and I'm quoting,""the real Thanksgiving""? What do Canadians even have to celebrate about?
"," Robin: Canadian Thanksgiving celebrates explorer martin frobisher's valiant yet ultimately unsuccessful attempt to find the northwest passage.
"
" Marshall: And thursday at 3:01 p.m., your face is going to show my hand.
"," Robin: Oh, there's Bob! By the way, heads up, he's a little bit older than us.
"
" Ted: How old is he?
"," Robin: He's forty-one. Hey, bob! Over here!
"
" Bob: Hey, sweetie.
"," Robin: Hi.
"
" Bob: They were totally on my case: ""What are you gonna do with your life? You're forty-one."" and I'm like, ""Chillax, snowboarding is a legit career. you ought to be stoked I found my bliss."" and speaking of bliss,sugar me, baby. ( Robin and Bob kiss)
"," Robin: Let's go get a drink.
"
" Ted: Sorry I'm late. Where are Marshall and Lily?
"," Robin: Uh, they just called. They're both super swamped preparing for tomorrow.
"
" Ted: Is Bob coming?
"," Robin: No, he went to see green day.
"
" Ted and Robin:...just the two of us.
"," Robin: Making pies.
"
" Ted: Pies. They're things that friends make together.
"," Robin: Yeah, they do.
"
" Ted: Great.
"," Robin: Yeah.
"
" Ted: Great. Well, this is great. It'll give us a chance to catch up.
"," Robin: Yeah.
"
" (Someone is knocking on the door, Ted opens it)
"," Robin: Hey, ted.
"
" Ted: Hey, happy Thanksgiving.
"," Robin: You, too. Is lily in the kitchen?
"
" Ted: yep.
"," Robin: Great.
"
" Ted: Marshall?
"," Robin: Lily?
"
" Ted: I wanted to leave, but i couldn't stick her with making all the pies by herself. She was exhausted.
"," Robin: I yawned like a million times trying to get him to leave.
"
" Lily: Yeah, some people just can't take a hint. By the way, I'm really swamped in here.
"," Robin: I kept looking at the clock and sighing... totally clueless.
"
" Lily: Uh-huh. I'm not sure I have time to mash those potatoes, you're standing right next to.
"," Robin: And then Ted does the thing that he always does when there's an awkward silence.
"
" Lily: Yep. masher's right there, next to the pot.
"," Robin: He panics and says the first thing that pops into his head.
"
" [FLASHBACK]
"," Robin: Hey, did you know that the first pies in recorded history came from Ancient Egypt?
"
" Ted: What?! I thought it would break the ice.
"," Robin: I'd already broken the ice with my cool pie fact. then he makes it ten times more awkward.
"
" [FLASHBACK]
"," Robin: Did you know that the egyptian pyramids can be seen from space? Probably?
"
" Ted: Ooh, the oven's pre-heated!
"," Robin: Okay, um... the pecan pie is gonna take the longest. Why don't we put that one in first?
"
" Ted: Pecan pie? Why are we making that?
"," Robin: Um, it's my favorite.
"
" Ted: You're allergic.
"," Robin: I know. I just like smelling it. It's like eating with your nose.
"
" Ted: So we're making a pie for Bob.
"," Robin: Yeah.
"
" Ted: You know, you could have just told me it was for Bob.
"," Robin: Yeah, I-I just thought it might upset you.
"
" Ted: Upset me? Wait a second. Do you think that......Do you think that I'm jealous of Bob?
"," Robin: I don't know. Is it so ridiculous to think that you might be?
"
" Ted: Yes.
"," Robin: Why?
"
" Lily: No, Ted! What are you doing?
"," Robin: Right?
"
" Ted: The only reason I'm jealous of Bob is that we can only talk about the first Thanksgiving,
"," Robin: Come on.
"
" Ted: The only reason I'm jealous of Bob is because I heard noah gave him shotgun in the ark.
"," Robin: Ted...
"
" Ted: The only reason I'm jealous of Bob is that I'm just an architect, but he discovered fire. How do you top that?
"," Robin: He's 41! Why are you bashing on him so hard?
"
" Ted: I'm not. I'm just joking around. That's what friends do.
"," Robin: It's mean.
"
" Ted: Well, how come we're all allowed to bust on barney when he dates some skanktron, but when you sleep with the crypt keeper's dad, I'm not allowed to say a word?
"," Robin: First of all, Bob and I are not sleeping together. We're just dating. Secondly, have I said one word about the parade of dubious conquests you've been marching past me the last few months? One of whom got you a butterfly tattoo?
"
" Ted: Hey, that is...
"," Robin: And if you and I are such good friends... why is baking a pie for Bob so weird?
"
" Ted: Yeah, if you and i are such good friends, why couldn't you just tell me that's what we were doing? Okay, maybe we should talk about this later. I-I should get going.
"," Robin: Well, what are we doing? It's Thanksgiving.
"
" Ted: I don't know. I'm sorry. This is stupid.
"," Robin: I'm sorry, too. Of course we're friends. I'm glad we're friends.
"
" Lily: What the hell were you doing? Let's review: you and Ted broke up six months ago. You're dating another man...
"," Robin: You are correct, Sir.
"
" Lily:...who's coming to my thanksgiving today...
"," Robin: That is a truth-fact.
"
" Lily:...an event Ted is also attending.
"," Robin: kablammo.
"
" Lily: Why are you trying to destroy American Thanksgiving?!
"," Robin: Oh, Lily, it's not as bad as it sounds. Bob and I aren't that serious, and what happened last night with Ted was a fluke.
"
" Ted:: There's office material...
"," Robin: I hear something burning...
"
" Ted: Clearly, we need to ignore this.
"," Robin: Clearly, we need to talk about this.
"
" Ted and Robin: You know? to save the friendship.
"," Robin: We need to talk.
"
" Ted: Stuffed mushroom?
"," Robin: We need to talk about last night.
"
" Ted: Did you know that some mushrooms are carnivorous? Probably... not?
"," Robin: Ted, can we please just deal with this? Look, I'm not mad. I just think...
"
" Ted: Wait, wait, wait, wait. why would you be mad... you started it?
"," Robin: What?! you're crazy!
"
" Ted: We called a truce, we hugged, and when I tried to pull away, you kept your hand on my neck.
"," Robin: Only because your hand was still around my waist.
"
" Ted: Oh, come on! You leaned into it.
"," Robin: I... leaned into it?
"
" Ted: Yeah. You're like the crappy kid in little league who knows he's not going to make contact, so he just...""Oops, I got hit by the pitch. Better take my base.""
"," Robin: Oh, that was you in little league, wasn't it?
"
" In Ted's room
"," Robin: Look at us! We can't be alone together, can we?
"
" Ted: Apparently not.
"," Robin: What does that mean? We're supposed to be friends.
"
" Ted: We aren't friends, are we? Not really. We avoid each other. We smile politely. We're two people who pretend to be friends because it would be inconvenient not to.
"," Robin: Well, maybe we should stop pretending.
"
" Ted: Maybe we should.
"," Robin: So... what do we do now?
"
" Ted: I suppose... we eat dinner. And then that's it.
"," Robin: Okay.
"
" Barney: I thought we were done with that?
"," Robin: I guess we're not.
"
" Marshall: Oh man, we're gonna be doing this all the time, now aren't we?
"," Robin: That's the general idea.
"
" At the apartment, Ted is sitting on the couch with Robin.
"," Robin: Just 10,000 glasses. No matter how long it takes.
"
" December 15, 2006, Robin holds a gun in his hands and also two men, including one on TV under his arm.
"," Robin: Put it!
"
" Ike: Do not say my name!
"," Robin: Ask your weapons!
"
" Ted left the apartment. Robin is still out on the phone.
"," Robin: I think I am more than qualified for the job. My weaknesses? I would say too caring, overworked, and I spend my career first. Oops! The latter is true. What?
"
" Mitch: That's the trick. You're the first date, you've had a few drinks, you go out an excuse to go to the girl.
"," Robin: The bathroom is. (His phone rings) You know what, I will respond.
"
" Ted: So, it's going to be, a roommate? I come home, and guys with whom you will go out sitting on the couch, naked.
"," Robin: I can not tell you.
"
" Ted: I can not believe that ""The guy with hair 'market has on you.
"," Robin: How do you say? I entered and he was naked. It was funny. I laughed, he laughed. And then it happened. I know not.
"
" Marshall: I say ***** s!
"," Robin: Sorry?
"
" Marshall: Sorry Robin, but cate with this type suggests that all that separates you from s*x, it's the clothes.
"," Robin: I have not slept with Mitch because he was naked.
"
" Marshall: So, why did you lie?
"," Robin: Because... It... It... because I like Mitch. Much. There was a... connection specificity. Specificity and feelings.
"
" Barney: You're welcome. There is also ""revenge"", ""bounce back"", ""parachuting"". When you're traveling, but instead of going to the hotel, you'll live in a bar to find a girl to get a foothold.
"," Robin: Oh, that, ""the kiss for a roof.""
"
" Marshall: ***** S!
"," Robin: I do not. My roommate in college did.
"
" 42 reasons later...
"," Robin: s*x, ""He says he loves you, but do not want to say the same.""
"
" Marshall: The only oddity that I did was to open my heart and my soul when I had put me to hair when the room was empty.
"," Robin: I have not slept with Mitch because he was naked!Mitch and I have something special. My fingers are crossed.That may be correct.
"
" Ted: This is the eighth place I try tonight! I cut my hair 3 times! I am out!
"," Robin: You're makeup?
"
" Robin is the restaurant with Mitch.
"," Robin: It's a pleasure to see you again. I really enjoyed it last night. So how does it feel to hold a Pizza Hut? Who had the idea to put a pineapple in the...
"
" Mitch: OK, enough. I know what it is. I have already given. This is the hot date ""I'm not a ***** s"".
"," Robin: What? It's crazy. Usually, you see clearly in my game, but there you are mistaken.
"
" Mitch: Really? How was the s*x?
"," Robin: I have not hated.
"
" Mitch: Did you see my technique. That's it. I have nothing to offer you. I am ruined, I sweat when I eat, and I'm in fantasy football leagues 5. I talking about it. Believe me, you want to be.
"," Robin: What? Of course I do! I did not sleep with you just because you were naked.
"
" Ted: My God! Guys, guys! That's him! This is ""The guy naked""!
"," Robin: Ted, his name is Mitch. And... this is my boyfriend. So...
"
" Marshall: Okay, I'll treat you more ***** s.
"," Robin: Okay you can go. It's over.
"
" No. It's like the first thing you see when you jimmy open her desk drawer with a letter opener her grandfather left her, according to her diary.
"," Robin: First-class tickets, a four-star hotel--
"
" Ted: What is she doing for money through all this?
"," Robin: Oh, she's been waiting tables at Big Wave Luau.
"
" Ted: Wait, you mean that hawaiian place where they wear those embarrassing outfits?
"," Robin: No.
"
" Lily: Welcome to big Wave Luau. Can I tiki your drink order? Aw, crap.
"," Robin: I'm sorry.
"
" Ted: Robin, nothing to add?
"," Robin: No. Lily is my friend and I'm not going to make fun of her for trying to follow her dreams.
"
" Lily: Thank you.
"," Robin: Although, you might want to bring out the big hawaiian drum because I'm pretty sure today's my birthday.
"
" Barney: And she's looking for some action. Sounds to me like she could be a cougar.
"," Robin: A what?
"
" Marshall: Classic.
"," Robin: Ted, didn't you tell me they need a new assistant in your office?
"
" Ted: It was an honest mistake. Look, when somebody opens up a container with an entire chicken in it, it's okay to assume they made lunch for everyone.
"," Robin: Ted, that girl didn't quit. You destroyed her.
"
" Ted: He's not usually this bad. It's just that the partners have made it very clear this project is make or break for us, so lately he's been a little testy. (The girls giggle) You know what I mean: crotchety. (Giggles) I'm just saying it's been hard on him. (More giggles). All right stop.
"," Robin: Did you show lily your design?
"
